Bin 	 Edep 	 Bin height 
1 	 0.000 	 3023.000 
2 	 0.000 	 31088.000 
3 	 0.001 	 62365.000 
4 	 0.001 	 94530.000 
5 	 0.001 	 116834.000 
6 	 0.001 	 123313.000 
7 	 0.001 	 113593.000 
8 	 0.002 	 95255.000 
9 	 0.002 	 75762.000 
10 	 0.002 	 58013.000 
11 	 0.002 	 43830.000 
12 	 0.002 	 33497.000 
13 	 0.003 	 25374.000 
14 	 0.003 	 18764.000 
15 	 0.003 	 14506.000 
16 	 0.003 	 11356.000 
17 	 0.003 	 8639.000 
18 	 0.004 	 6986.000 
19 	 0.004 	 5828.000 
20 	 0.004 	 4918.000 
21 	 0.004 	 4112.000 
22 	 0.004 	 3573.000 
23 	 0.005 	 3299.000 
24 	 0.005 	 2979.000 
25 	 0.005 	 2671.000 
26 	 0.005 	 2484.000 
27 	 0.005 	 2317.000 
28 	 0.006 	 2217.000 
29 	 0.006 	 2061.000 
30 	 0.006 	 1892.000 
31 	 0.006 	 1900.000 
32 	 0.006 	 1753.000 
33 	 0.007 	 1620.000 
34 	 0.007 	 1473.000 
35 	 0.007 	 1314.000 
36 	 0.007 	 1076.000 
37 	 0.007 	 968.000 
38 	 0.008 	 871.000 
39 	 0.008 	 797.000 
40 	 0.008 	 688.000 
41 	 0.008 	 615.000 
42 	 0.008 	 555.000 
43 	 0.009 	 525.000 
44 	 0.009 	 458.000 
45 	 0.009 	 428.000 
46 	 0.009 	 434.000 
47 	 0.009 	 392.000 
48 	 0.009 	 374.000 
49 	 0.010 	 355.000 
50 	 0.010 	 346.000 
51 	 0.010 	 325.000 
52 	 0.010 	 300.000 
53 	 0.011 	 308.000 
54 	 0.011 	 296.000 
55 	 0.011 	 233.000 
56 	 0.011 	 273.000 
57 	 0.011 	 217.000 
58 	 0.011 	 213.000 
59 	 0.012 	 242.000 
60 	 0.012 	 204.000 
61 	 0.012 	 213.000 
62 	 0.012 	 161.000 
63 	 0.013 	 188.000 
64 	 0.013 	 192.000 
65 	 0.013 	 156.000 
66 	 0.013 	 159.000 
67 	 0.013 	 163.000 
68 	 0.013 	 163.000 
69 	 0.014 	 144.000 
70 	 0.014 	 148.000 
71 	 0.014 	 130.000 
72 	 0.014 	 130.000 
73 	 0.015 	 124.000 
74 	 0.015 	 121.000 
75 	 0.015 	 101.000 
76 	 0.015 	 102.000 
77 	 0.015 	 108.000 
78 	 0.015 	 118.000 
79 	 0.016 	 82.000 
80 	 0.016 	 102.000 
81 	 0.016 	 89.000 
82 	 0.016 	 104.000 
83 	 0.017 	 78.000 
84 	 0.017 	 77.000 
85 	 0.017 	 75.000 
86 	 0.017 	 76.000 
87 	 0.017 	 70.000 
88 	 0.018 	 83.000 
89 	 0.018 	 61.000 
90 	 0.018 	 60.000 
91 	 0.018 	 62.000 
92 	 0.018 	 59.000 
93 	 0.018 	 65.000 
94 	 0.019 	 60.000 
95 	 0.019 	 53.000 
96 	 0.019 	 60.000 
97 	 0.019 	 44.000 
98 	 0.019 	 47.000 
99 	 0.020 	 48.000 
100 	 0.020 	 46.000 
