Bin 	 trackL 	 Bin height 
1 	 1.000 	 1000000.000 
2 	 3.000 	 0.000 
3 	 5.000 	 0.000 
4 	 7.000 	 0.000 
5 	 9.000 	 0.000 
6 	 11.000 	 0.000 
7 	 13.000 	 0.000 
8 	 15.000 	 0.000 
9 	 17.000 	 0.000 
10 	 19.000 	 0.000 
11 	 21.000 	 0.000 
12 	 23.000 	 0.000 
13 	 25.000 	 0.000 
14 	 27.000 	 0.000 
15 	 29.000 	 0.000 
16 	 31.000 	 0.000 
17 	 33.000 	 0.000 
18 	 35.000 	 0.000 
19 	 37.000 	 0.000 
20 	 39.000 	 0.000 
21 	 41.000 	 0.000 
22 	 43.000 	 0.000 
23 	 45.000 	 0.000 
24 	 47.000 	 0.000 
25 	 49.000 	 0.000 
26 	 51.000 	 0.000 
27 	 53.000 	 0.000 
28 	 55.000 	 0.000 
29 	 57.000 	 0.000 
30 	 59.000 	 0.000 
31 	 61.000 	 0.000 
32 	 63.000 	 0.000 
33 	 65.000 	 0.000 
34 	 67.000 	 0.000 
35 	 69.000 	 0.000 
36 	 71.000 	 0.000 
37 	 73.000 	 0.000 
38 	 75.000 	 0.000 
39 	 77.000 	 0.000 
40 	 79.000 	 0.000 
41 	 81.000 	 0.000 
42 	 83.000 	 0.000 
43 	 85.000 	 0.000 
44 	 87.000 	 0.000 
45 	 89.000 	 0.000 
46 	 91.000 	 0.000 
47 	 93.000 	 0.000 
48 	 95.000 	 0.000 
49 	 97.000 	 0.000 
50 	 99.000 	 0.000 
51 	 101.000 	 0.000 
52 	 103.000 	 0.000 
53 	 105.000 	 0.000 
54 	 107.000 	 0.000 
55 	 109.000 	 0.000 
56 	 111.000 	 0.000 
57 	 113.000 	 0.000 
58 	 115.000 	 0.000 
59 	 117.000 	 0.000 
60 	 119.000 	 0.000 
61 	 121.000 	 0.000 
62 	 123.000 	 0.000 
63 	 125.000 	 0.000 
64 	 127.000 	 0.000 
65 	 129.000 	 0.000 
66 	 131.000 	 0.000 
67 	 133.000 	 0.000 
68 	 135.000 	 0.000 
69 	 137.000 	 0.000 
70 	 139.000 	 0.000 
71 	 141.000 	 0.000 
72 	 143.000 	 0.000 
73 	 145.000 	 0.000 
74 	 147.000 	 0.000 
75 	 149.000 	 0.000 
76 	 151.000 	 0.000 
77 	 153.000 	 0.000 
78 	 155.000 	 0.000 
79 	 157.000 	 0.000 
80 	 159.000 	 0.000 
81 	 161.000 	 0.000 
82 	 163.000 	 0.000 
83 	 165.000 	 0.000 
84 	 167.000 	 0.000 
85 	 169.000 	 0.000 
86 	 171.000 	 0.000 
87 	 173.000 	 0.000 
88 	 175.000 	 0.000 
89 	 177.000 	 0.000 
90 	 179.000 	 0.000 
91 	 181.000 	 0.000 
92 	 183.000 	 0.000 
93 	 185.000 	 0.000 
94 	 187.000 	 0.000 
95 	 189.000 	 0.000 
96 	 191.000 	 0.000 
97 	 193.000 	 0.000 
98 	 195.000 	 0.000 
99 	 197.000 	 0.000 
100 	 199.000 	 0.000 
